"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\GrupalTercerParcialAPI\View\nuevoProducto.php", "PHP", 0, 210, 0, 0, 18, 54, 282
"c:\xampp\htdocs\GrupalTercerParcialAPI\View\principalUsuario.php", "PHP", 0, 671, 0, 0, 8, 76, 755
"c:\xampp\htdocs\GrupalTercerParcialAPI\View\productos.php", "PHP", 0, 258, 0, 0, 14, 44, 316
"c:\xampp\htdocs\GrupalTercerParcialAPI\clases\actualizarCantidadE.php", "PHP", 0, 11, 0, 0, 4, 4, 19
"c:\xampp\htdocs\GrupalTercerParcialAPI\clases\actualizarCantidadS.php", "PHP", 0, 11, 0, 0, 4, 5, 20
"c:\xampp\htdocs\GrupalTercerParcialAPI\clases\carrito.php", "PHP", 0, 23, 0, 0, 0, 10, 33
"c:\xampp\htdocs\GrupalTercerParcialAPI\clases\eliminar_carrito.php", "PHP", 0, 22, 0, 0, 0, 6, 28
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\ayudaAdmin.css", "CSS", 0, 0, 0, 71, 2, 7, 80
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\estilo_ayuda.css", "CSS", 0, 0, 0, 67, 2, 7, 76
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\estilo_login.css", "CSS", 0, 0, 0, 217, 1, 0, 218
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\estilos_administrador.css", "CSS", 0, 0, 0, 1057, 48, 200, 1305
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\estilos_administrador2.css", "CSS", 0, 0, 0, 1006, 43, 197, 1246
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\estilos_administrador22.css", "CSS", 0, 0, 0, 983, 43, 197, 1223
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\estilos_administradorCat.css", "CSS", 0, 0, 0, 1044, 48, 201, 1293
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\estilos_index1.css", "CSS", 0, 0, 0, 487, 23, 107, 617
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\principalUsuario.css", "CSS", 0, 0, 0, 867, 148, 202, 1217
"c:\xampp\htdocs\GrupalTercerParcialAPI\css\principalUsuario2.css", "CSS", 0, 0, 0, 867, 148, 202, 1217
"c:\xampp\htdocs\GrupalTercerParcialAPI\fpdf186\FAQ.htm", "HTML", 238, 0, 0, 0, 0, 29, 267
